Country,Flag,Capital,Population_2024,GDP_USD_Billions,Area_km2,Official_Language,Region
Afghanistan,🇦🇫,Kabul,41128771,14.8,652230,Pashto,Asia
Albania,🇦🇱,Tirana,2761785,18.3,28748,Albanian,Europe
Algeria,🇩🇿,Algiers,45606480,191.9,2381741,Arabic,Africa
Andorra,🇦🇩,Andorra la Vella,79034,3.2,468,Catalan,Europe
Angola,🇦🇴,Luanda,35588987,124.2,1246700,Portuguese,Africa
Antigua and Barbuda,🇦🇬,Saint John's,93219,1.6,442,English,Americas
Argentina,🇦🇷,Buenos Aires,45773884,487.2,2780400,Spanish,Americas
Armenia,🇦🇲,Yerevan,2777970,19.5,29743,Armenian,Asia
Australia,🇦🇺,Canberra,26439111,1552.7,7692024,English,Oceania
Austria,🇦🇹,Vienna,8958960,481.2,83879,German,Europe
Azerbaijan,🇦🇿,Baku,10353296,78.7,86600,Azerbaijani,Asia
Bahamas,🇧🇸,Nassau,409984,12.8,13943,English,Americas
Bahrain,🇧🇭,Manama,1748296,44.4,765,Arabic,Asia
Bangladesh,🇧🇩,Dhaka,171186372,460.2,147570,Bengali,Asia
Barbados,🇧🇧,Bridgetown,281635,5.4,430,English,Americas
Belarus,🇧🇾,Minsk,9498238,72.8,207600,Belarusian,Europe
Belgium,🇧🇪,Brussels,11697557,529.6,30528,Dutch,Europe
Belize,🇧🇿,Belmopan,405272,2.9,22966,English,Americas
Benin,🇧🇯,Porto-Novo,13352864,17.1,112622,French,Africa
Bhutan,🇧🇹,Thimphu,787424,2.5,38394,Dzongkha,Asia
Bolivia,🇧🇴,Sucre,12224110,47.1,1098581,Spanish,Americas
Bosnia and Herzegovina,🇧🇦,Sarajevo,3210847,24.5,51197,Bosnian,Europe
Botswana,🇧🇼,Gaborone,2675352,20.4,581730,English,Africa
Brazil,🇧🇷,Brasília,216422446,2126.8,8514877,Portuguese,Americas
Brunei,🇧🇳,Bandar Seri Begawan,449002,16.1,5765,Malay,Asia
Bulgaria,🇧🇬,Sofia,6885868,84.1,110879,Bulgarian,Europe
Burkina Faso,🇧🇫,Ouagadougou,22673762,19.7,274200,French,Africa
Burundi,🇧🇮,Gitega,12889576,3.6,27830,Kirundi,Africa
Cabo Verde,🇨🇻,Praia,598682,2.1,4033,Portuguese,Africa
Cambodia,🇰🇭,Phnom Penh,16944826,30.6,181035,Khmer,Asia
Cameroon,🇨🇲,Yaoundé,28647293,45.2,475442,French,Africa
Canada,🇨🇦,Ottawa,39742430,2140.0,9984670,English,Americas
Central African Republic,🇨🇫,Bangui,5579144,2.4,622984,French,Africa
Chad,🇹🇩,N'Djamena,18278568,17.2,1284000,French,Africa
Chile,🇨🇱,Santiago,19629590,317.1,756096,Spanish,Americas
China,🇨🇳,Beijing,1425887337,17734.1,9596961,Mandarin,Asia
Colombia,🇨🇴,Bogotá,52085168,343.6,1141748,Spanish,Americas
Comoros,🇰🇲,Moroni,852075,1.3,2235,Arabic,Africa
Congo,🇨🇬,Brazzaville,6106869,12.4,342000,French,Africa
Costa Rica,🇨🇷,San José,5212173,68.4,51100,Spanish,Americas
Croatia,🇭🇷,Zagreb,3855600,70.4,56594,Croatian,Europe
Cuba,🇨🇺,Havana,11194449,107.4,109884,Spanish,Americas
Cyprus,🇨🇾,Nicosia,1260138,28.4,9251,Greek,Europe
Czech Republic,🇨🇿,Prague,10827529,290.9,78867,Czech,Europe
Democratic Republic of the Congo,🇨🇩,Kinshasa,102262808,55.4,2344858,French,Africa
Denmark,🇩🇰,Copenhagen,5910913,395.1,43094,Danish,Europe
Djibouti,🇩🇯,Djibouti,1136455,3.6,23200,French,Africa
