Country,Flag,Flag_Image_URL,Capital,Population_2024,Area_km2,Official_Language,Region,Type,Fact
Afghanistan,🇦🇫,,Kabul,41128771,652230,Pashto,Asia,Country,"Its flag has been redesigned more than any other country's — over 20 versions since 1900."
Albania,🇦🇱,,Tirana,2761785,28748,Albanian,Europe,Country,"Albania was the world's first officially atheist state in 1967; the double-headed eagle on its flag is a medieval symbol dating back to Byzantine times."
Algeria,🇩🇿,,Algiers,45606480,2381741,Arabic,Africa,Country,"Africa's largest country by area; the red crescent on its flag was added to emphasize Islamic identity upon independence from France in 1962."
Andorra,🇦🇩,,Andorra la Vella,79034,468,Catalan,Europe,Country,"A co-principality governed jointly by the French president and the Spanish Bishop of Urgell; it has no airport and no standing army."
Angola,🇦🇴,,Luanda,35588987,1246700,Portuguese,Africa,Country,"The machete and gear on its flag reflect Marxist-Leninist influences at independence in 1975; it has the second-largest Portuguese-speaking population in the world after Brazil."
Antigua and Barbuda,🇦🇬,,Saint John's,93219,442,English,Americas,Country,"Its rising-sun flag symbolizes the dawn of independence; the islands reportedly have 365 beaches — one for every day of the year."
Argentina,🇦🇷,,Buenos Aires,45773884,2780400,Spanish,Americas,Country,"The 'Sun of May' on its flag commemorates the 1810 revolution against Spain; Argentina is the largest Spanish-speaking country in the world by area."
Armenia,🇦🇲,,Yerevan,2777970,29743,Armenian,Asia,Country,"Armenia was the first country to adopt Christianity as its state religion in 301 AD; the red stripe on its flag represents the Armenian Highland and the struggle for survival."
Australia,🇦🇺,,Canberra,26439111,7692024,English,Oceania,Country,"The Southern Cross on its flag is visible only from the Southern Hemisphere; Australia is the only country that occupies an entire continent."
Austria,🇦🇹,,Vienna,8958960,83879,German,Europe,Country,"Legend says its red-white-red flag was inspired by Duke Leopold V's blood-soaked tunic after the Battle of Acre in 1191 — one of history's oldest flag origin stories."
Azerbaijan,🇦🇿,,Baku,10353296,86600,Azerbaijani,Asia,Country,"Called the 'Land of Fire' due to naturally occurring flame seeps; its first oil well predates Pennsylvania's famous 1859 well by over a decade."
Bahamas,🇧🇸,,Nassau,409984,13943,English,Americas,Country,"Comprises over 700 islands with only about 30 inhabited; the blue on its flag represents the sea that defines Bahamian life."
Bahrain,🇧🇭,,Manama,1748296,765,Arabic,Asia,Country,"The only island nation in the Middle East; the five white serrations on its flag represent the five pillars of Islam."
Bangladesh,🇧🇩,,Dhaka,171186372,147570,Bengali,Asia,Country,"Home to the world's largest river delta — the Sundarbans; the red disc on its flag represents the sun rising over the green landscape."
